Transcripts	CT_1	CT_2	CT_3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_4591	1.84	0.62	2.51	0	0.66	0.33	1.37	0.35	0.56	1.92	1.57	0	0	2.23	1.35
transcript_4592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4593	68.23	54.8	68.51	55.74	89.96	2686.26	2391.07	3256.56	2560.54	1963.73	2754.94	67.93	45.96	69.09	2803.31
transcript_4594	57.25	90.42	0	0	0	211.94	327.79	267.07	282.03	0	0	0	0	0	0
transcript_4595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_4596	46.97	41.95	74.71	61.56	76.72	61.48	68.24	79.2	74.97	53.79	84.59	65.55	96.28	82.56	74.29
transcript_4597	61.62	76.58	57.54	60.17	15.93	73.04	7.45	54.01	72.94	58.67	77.85	48.26	42.61	39.18	42.24
transcript_4598	9.46	8.97	7.6	7.08	12.01	11.01	7.13	16.4	12.77	11.97	12.37	12.93	13.18	11.38	15.45
transcript_4599	19.06	11.96	22.8	16.54	15.08	10.07	9.87	14.01	13.5	10.37	15.89	10.67	21.37	18.3	15.75
transcript_46	0	113.81	0.49	104.46	104.5	0.42	0.04	86.26	105.52	1.42	102.12	135.5	116.32	123.62	0
transcript_460	4.71	2.18	6.49	6.41	6.5	0.71	9.58	9.26	17.87	16.66	20.46	0.27	8.51	6.76	8
transcript_4600	712.3	831.27	671.58	616.21	584.22	640.71	569.52	582.88	606.42	537.25	491.85	588.49	530.98	572.91	647.52
transcript_4601	1453.59	6.66	3.33	635.58	0.34	224.04	293.23	193.8	155.23	332.82	126.25	169.59	12.61	3	0.38
transcript_4602	20.23	16.19	24.82	20.54	15.72	19.36	24.77	21.3	26.42	16.5	23.73	20.2	19.37	17.04	14.73
transcript_4603	49.95	40.67	67.52	58.69	61.61	55.34	64.29	66.53	52.8	54.06	65.34	52.21	81.5	57.84	68.14
transcript_4604	2.97	3.72	2.48	79.43	46.24	116.75	102.63	206.78	89.37	163.74	218.37	135.31	309.03	384.19	280.78
transcript_4605	8.26	10.14	9.75	10.15	8.37	8.17	7.34	8.45	8.48	7.25	6.21	6.47	4.1	5.33	6.79
transcript_4606	4.87	7.72	5.08	7.24	8.13	9.4	9.26	8.15	10.07	8.56	6.22	10.89	5.88	5.97	10.74
transcript_4607	4.32	0	0	0	0	0	0	0	7.8	0	0.1	0.14	0	10.59	0
transcript_4608	36.58	21.91	42.58	33.45	20.07	16.39	26.34	35.7	21.26	19.68	27.58	24.59	70.11	53.62	59.05
transcript_4609	9.81	6.67	34.09	252.21	15.63	9.27	268.45	237.21	258.25	146.29	14.11	13.12	212.97	1.71	15.29
transcript_461	2.19	2.16	2.04	1.23	1.07	2.46	1.35	0.7	0.83	1.69	1.15	0.88	1.05	0.43	0.89
transcript_4610	30.17	20.67	28.42	23.47	19.41	22.08	25.82	15.35	27.65	18.38	24.32	23.94	11.47	13.9	14.32
transcript_4612	57.58	67.83	91.64	97.75	103.16	87.39	78.84	87.13	78.52	76.56	76.12	84.34	56.43	52.36	72.28
transcript_4613	0	0	0	0	0	0	0	0.08	0.06	0	0	0	0	0	0
transcript_4614	275.04	11.64	9.26	690.25	38.44	30.73	589.88	702.33	641.82	742.13	20.12	20.58	143.77	1.97	217.57
transcript_4615	0.57	0	0	1.78	18.95	29.04	19.07	0	0	0	1.56	26.05	0	11	0.51
transcript_4616	5.78	6.97	8.31	8.98	9.94	11.96	16.73	20.1	13.36	10.96	20.93	14.63	32.4	25.35	19.03
transcript_4618	465.37	472.8	711.23	375.2	443.48	551.09	628.36	740.87	781.38	323.29	606.57	451.17	857.23	514.34	813.53
transcript_4619	45.17	93.05	55.05	34.99	35.93	62.65	45.69	46.81	47.54	33.38	49.03	42.8	14.7	18.94	22.28
transcript_462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
